id,MQ135,MQ3,MQ4,MQ5,MQ6,MQ8,Temp,Humidity
1,381,880,389,839,291,31,38.9,60.5
1,381,874,385,844,296,32,39,60.1
1,382,862,394,845,294,32,39,60
1,379,847,389,836,289,29,39,59.8
1,336,1211,499,752,260,16,39.1,60.2
1,368,1168,516,750,262,16,38.2,48.5
1,357,1158,528,752,262,14,38.2,51.2
1,367,1129,531,754,261,15,38.1,53.7
1,382,1111,544,767,272,18,38.1,56.1
1,387,1091,595,768,272,18,38.1,58.5
1,390,1066,546,762,271,16,38,60.7
1,400,1232,563,774,276,22,38,62.7
1,400,1038,558,770,272,18,38.1,64.4
1,409,1036,563,782,279,22,38,66
1,405,1012,555,779,279,22,38,67.5
1,417,989,539,775,309,0,38,68.80001
1,415,975,533,784,289,19,38.1,70
1,432,952,533,793,286,27,38,71.2
1,423,947,527,814,283,22,38,72.20001
1,432,944,530,794,287,29,38.1,73
1,437,941,528,800,285,29,38.1,73.9
1,441,917,522,802,287,25,38.1,74.70001
1,443,915,522,808,294,29,38.1,75.4
1,438,896,501,797,286,25,38.1,76.1
1,442,889,499,799,293,22,38.1,76.8
1,448,887,499,814,294,28,38.1,77.4
1,438,873,495,805,295,29,38.1,77.9
1,448,867,496,816,299,30,38.1,78.20001
1,444,863,495,807,301,27,38.1,78.5
1,448,853,496,816,303,29,38.1,78.9
1,417,844,496,813,303,30,38.2,79.20001
1,447,822,486,815,298,29,38.2,79.4
1,444,814,484,818,298,29,38.2,79.6
1,405,1053,498,787,290,17,38.2,80.2
1,417,1022,509,789,272,17,37.9,60.6
1,426,1008,527,794,291,17,37.9,62.8
1,423,995,521,784,285,16,37.8,64.70001
1,430,987,519,791,287,16,37.8,66.6
1,445,979,523,806,295,22,37.8,68.4
1,445,976,534,798,295,21,37.7,70.1
1,454,971,542,810,301,23,37.7,71.70001
1,447,960,543,804,295,18,37.7,73.1
1,460,954,545,819,304,25,37.7,74.4
1,464,953,547,816,304,21,37.7,75.6
1,464,946,542,823,306,27,37.7,76.6
1,461,928,523,819,301,22,37.7,77.7
1,471,933,537,832,310,30,37.7,78.6
1,473,916,518,833,306,33,37.8,79.6
1,464,992,496,830,305,29,37.8,80.4
1,471,899,494,833,307,27,37.8,81.1
1,478,897,505,845,315,32,37.9,81.8
1,474,895,506,848,318,33,37.8,82.40001
1,507,891,499,838,312,27,37.9,83
1,483,885,510,850,317,33,37.9,83.6
1,485,912,517,850,318,34,37.9,84.20001
1,489,874,509,894,320,29,38,84.7
1,483,860,506,858,320,33,38,85.2
1,483,858,484,850,320,30,38,85.6
1,480,847,475,855,317,31,38,86
1,482,848,480,866,269,31,38.1,86.50001
